,0
t1_rank_POM,5
d_tv_adjt,5
t2_kp_ms_3P%,5
t1_kp_ht_Eff Hgt,5
t2_SeedNum,5
d_kp_ff_Offense_eFG%,5
t2_kp_ff_Offense_OR%,5
t2_tv_adjt,5
t1_kp_ms_2P%,4
t2_kp_ht_PG Hgt,4
t2_kp_ht_Experience,4
t2_kp_ht_C Hgt,4
t1_kp_ff_Offense_eFG%,4
t2_Games,4
t1_avg_ScoreDiff,4
t2_conf_tourney_wins,4
t1_kp_ff_Offense_OR%,4
t2_tourney_f4_rate,4
t1_opp_D,4
t2_kp_ff_AdjTempo,4
t2_avg_ScoreDiff,3
t1_conf_tourney_champion,3
t2_conf_tourney_winpct,3
t1_tourney_win_rate,3
t2_rank_POM,3
t1_tourney_recent_best,3
t2_tourney_recent_best,3
d_tourney_f4_rate,3
t2_kp_ff_Offense_FTRate,2
t1_tourney_r32_rate,2
t2_rank_SAG,2
d_kp_ht_C Hgt,2
t2_conf_tourney_finalist,2
t2_kp_ff_Offense_AdjDE,2
d_SeedNum,2
t2_tourney_best_round,1
d_kp_ff_AdjTempo,1
t1_conf_tourney_winpct,1
t2_tourney_champ_rate,0
t1_tourney_champ_rate,0
d_tourney_best_round,0
t1_SeedNum,0
d_InTourney,0
d_tourney_champ_rate,0
t1_InTourney,0
d_tourney_ncg_rate,0
t2_tourney_ncg_rate,0
t1_tourney_ncg_rate,0
t2_conf_tourney_champion,0
t1_tourney_best_round,0
t1_conf_tourney_finalist,0
t1_tourney_e8_rate,0
t2_InTourney,0
